log_time_ns,_full_text,_type,theta,x,y
1697563546386516211,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1557554067958507,0.16380513732095683,-0.48999160423176086
1697563546391725719,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1556916867695577,0.16642453550070935,-0.4895835328544676
1697563546396475587,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1556301597878388,0.1689323881001967,-0.48919302019160865
1697563546401675867,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15557126874079794,0.171331057928643,-0.488819673117064
1697563546406555178,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15551528862527786,0.17362293283777258,-0.488463096917417
1697563546411643958,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15546163315519962,0.1758104231061653,-0.4881228981702377
1697563546416699185,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15541024359060238,0.17789597511793137,-0.48779867743784944
1697563546422084896,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15536161052630149,0.1798820742525257,-0.4874900286731812
1697563546426460366,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1553150101650514,0.1817712336361627,-0.4871965473957844
1697563546431676744,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1552708813892256,0.18356601510384987,-0.4869178186280299
1697563546436538954,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15522887326954696,0.18526901589949885,-0.4866534260875054
1697563546441535946,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1551890014523625,0.18688287927681388,-0.4864029462267084
1697563546446789672,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15515135057543727,0.18841029311146398,-0.4861659494861201
1697563546451897660,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15511577905548876,0.18985398778421578,-0.4859420016520521
1697563546456762604,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15508204501884,0.1912167364558739,-0.4857306632932559
1697563546461922253,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15505016104228045,0.19250135606532118,-0.48553148824318954
1697563546466647826,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1550204602514341,0.19371070484387432,-0.48534402368556834
1697563546471641446,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1549922587175573,0.19484766747949145,-0.4851678173238816
1697563546476591165,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15496571156284641,0.19591516386252028,-0.4850024091347699
1697563546481579091,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15494102307791222,0.19691613561975466,-0.48484733630890975
1697563546486448128,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15491785461528576,0.19785353275184278,-0.4847021374480473
1697563546491861593,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15489600834596698,0.19873030893461327,-0.48456635072120924
1697563546496851205,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1548756715903503,0.1995494122424915,-0.48443951434960414
1697563546501663312,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15485686827160153,0.20031376880387766,-0.48432117110807793
1697563546506497420,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1548389488072111,0.20102626624935915,-0.48421087271851787
1697563546511531329,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1548226141748986,0.20168975690091817,-0.4841081718525975
1697563546516629810,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1548072678677141,0.20230702464793204,-0.4840126369709153
1697563546521617698,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15479308867690075,0.20288078950452354,-0.48392384393864446
1697563546526844201,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15478002946390243,0.20341368912550561,-0.48384138253577363
1697563546531729052,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1547675840655247,0.20390826767198936,-0.48376485900222593
1697563546536634027,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15475615889094976,0.20436697878474192,-0.48369389048975503
1697563546541721658,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1547456140755716,0.20479216802834185,-0.4836281131225514
1697563546546818102,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15473580572340548,0.20518607269180772,-0.48356718000139437
1697563546551652807,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15472664903141856,0.2055508194649026,-0.48351076130459514
1697563546556572131,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1547183285190323,0.20588842478892078,-0.4834585434356405
1697563546561746020,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15471075418555813,0.20620079066926422,-0.4834102316540846
1697563546566721692,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1547036106457702,0.20648970632626265,-0.48336554962041695
1697563546571545500,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15469672758287809,0.2067568533656444,-0.4833242372145115
1697563546577160121,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15469062973291958,0.20700381316822158,-0.4832860473511515
1697563546581871589,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546852196462787,0.20723206028168475,-0.48325075184356264
1697563546586530942,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546798363404972,0.20744296706163712,-0.4832181404581294
1697563546591887666,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15467496281749676,0.20763782155576302,-0.48318801184576143
1697563546596856278,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15467065219990528,0.2078178198759924,-0.48316018051319637
1697563546601518599,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15466617319004797,0.20798406821970505,-0.48313447780951857
1697563546606781567,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546626197353625,0.20813760812713208,-0.48311073839590074
1697563546611729279,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15465903720492657,0.2082793908805689,-0.48308881847574026
1697563546616604839,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15465583803765307,0.20841030891072956,-0.48306857834474853
1697563546621741726,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15465265927208602,0.20853118350454708,-0.48304989218362304
1697563546626501549,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15465012217017238,0.20864278291151753,-0.48303263876936814
1697563546632068321,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15464750458983342,0.20874580822950792,-0.4830167122332126
1697563546636425655,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15464493733170254,0.2088409145312983,-0.4830020106963035
1697563546641618837,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15464289019024327,0.20892871054227083,-0.4829884382113868
1697563546646520489,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546409836150729,0.20900975282024434,-0.4829759100404574
1697563546652112274,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546390058522427,0.20908455700476267,-0.48296434716481057
1697563546656775747,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15463726926661078,0.2091536036818908,-0.48295367406343237
1697563546661584016,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15463562074983112,0.2092173335031747,-0.48294382311368284
1697563546666638466,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15463425183924728,0.20927615621417237,-0.48293473020837574
1697563546671917070,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15463280363210716,0.20933044613880616,-0.4829263387519896
1697563546676924527,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15463174660460893,0.20938055531487215,-0.4829185925433092
1697563546681635595,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15463051236461317,0.20942680101530953,-0.4829114445898653
1697563546686635563,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462946951052023,0.2094694832352551,-0.4829048471211666
1697563546691652659,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462847362429372,0.20950887519083505,-0.4828987584014569
1697563546696701406,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462757855695894,0.2095452306168757,-0.482893138979347
1697563546701650533,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15462685906854032,0.2095787839748095,-0.4828879523089644
